host,instance
wdc3-qz1-sr4-rk458-s12,cnode-1
wdc3-qz1-sr5-rk478-s20,cnode-2
wdc3-qz1-sr5-rk468-s34,cnode-28
wdc3-qz1-sr4-rk453-s12,cnode-16
wdc3-qz1-sr4-rk460-s12,cnode-25
wdc3-qz1-sr4-rk460-s20,cnode-26
wdc3-qz1-sr4-rk448-s12,cnode-23
wdc3-qz1-sr5-rk463-s34,cnode-12
wdc3-qz1-sr5-rk471-s20,cnode-4
wdc3-qz1-sr5-rk481-s20,cnode-9
wdc3-qz1-sr4-rk449-s12,cnode-11
wdc3-qz1-sr5-rk488-s34,cnode-17
wdc3-qz1-sr5-rk471-s12,cnode-19
wdc3-qz1-sr5-rk493-s34,cnode-18
wdc3-qz1-sr5-rk485-s34,cnode-3
wdc3-qz1-sr4-rk455-s12,cnode-10
wdc3-qz1-sr5-rk484-s12,cnode-29
wdc3-qz1-sr4-rk451-s12,cnode-7
wdc3-qz1-sr4-rk458-s34,cnode-22
wdc3-qz1-sr5-rk479-s12,cnode-6
wdc3-qz1-sr5-rk494-s12,cnode-14
wdc3-qz1-sr5-rk490-s34,cnode-13
wdc3-qz1-sr5-rk482-s34,cnode-24
wdc3-qz1-sr4-rk450-s20,cnode-27
wdc3-qz1-sr5-rk494-s34,cnode-33
wdc3-qz1-sr4-rk459-s34,cnode-50
wdc3-qz1-sr5-rk480-s12,cnode-46
wdc3-qz1-sr5-rk474-s34,cnode-43
wdc3-qz1-sr5-rk486-s12,cnode-47
wdc3-qz1-sr5-rk490-s20,cnode-48
wdc3-qz1-sr5-rk477-s12,cnode-37
wdc3-qz1-sr5-rk464-s12,cnode-32
wdc3-qz1-sr5-rk466-s34,cnode-42
wdc3-qz1-sr5-rk483-s34,cnode-59
wdc3-qz1-sr5-rk486-s34,cnode-55
wdc3-qz1-sr5-rk484-s20,cnode-35
wdc3-qz1-sr5-rk487-s34,cnode-57
wdc3-qz1-sr5-rk468-s12,cnode-52
wdc3-qz1-sr5-rk468-s20,cnode-34
wdc3-qz1-sr4-rk449-s34,cnode-51
wdc3-qz1-sr5-rk472-s12,cnode-36
wdc3-qz1-sr4-rk448-s20,cnode-31
wdc3-qz1-sr5-rk476-s12,cnode-39
wdc3-qz1-sr4-rk462-s12,cnode-44
wdc3-qz1-sr4-rk456-s34,cnode-56
wdc3-qz1-sr5-rk486-s20,cnode-49
wdc3-qz1-sr5-rk494-s20,cnode-53
wdc3-qz1-sr5-rk478-s12,cnode-38
wdc3-qz1-sr4-rk460-s34,cnode-20
wdc3-qz1-sr5-rk482-s12,cnode-84
wdc3-qz1-sr4-rk451-s20,cnode-90
wdc3-qz1-sr5-rk465-s34,cnode-71
wdc3-qz1-sr5-rk470-s34,cnode-81
wdc3-qz1-sr5-rk481-s34,cnode-62
wdc3-qz1-sr5-rk491-s34,cnode-80
wdc3-qz1-sr5-rk469-s20,cnode-74
wdc3-qz1-sr5-rk474-s20,cnode-82
wdc3-qz1-sr5-rk488-s20,cnode-61
wdc3-qz1-sr5-rk472-s34,cnode-63
wdc3-qz1-sr5-rk493-s12,cnode-69
wdc3-qz1-sr5-rk467-s20,cnode-89
wdc3-qz1-sr5-rk485-s12,cnode-79
wdc3-qz1-sr5-rk492-s34,cnode-64
wdc3-qz1-sr4-rk458-s20,cnode-66
wdc3-qz1-sr5-rk480-s20,cnode-73
wdc3-qz1-sr5-rk491-s20,cnode-85
wdc3-qz1-sr5-rk488-s12,cnode-67
wdc3-qz1-sr5-rk493-s20,cnode-75
wdc3-qz1-sr4-rk451-s34,cnode-86
wdc3-qz1-sr5-rk469-s34,cnode-76
